ZIP,LAT,LNG
07001,40.582316, -74.271506
07002,40.662338, -74.110275
07003,40.809128, -74.187155
07004,40.882508, -74.304593
07005,40.932771, -74.417304
07006,40.851187, -74.282865
07008,40.583790, -74.227457
07009,40.858017, -74.229784
07010,40.822081, -73.987834
07011,40.878256, -74.144073
07012,40.848398, -74.160266
07013,40.869405, -74.173062
07014,40.831339, -74.135419
07016,40.656391, -74.304830
07017,40.772072, -74.207103
07018,40.755897, -74.217961
07020,40.823877, -73.974152
07021,40.828127, -74.276197
07022,40.821054, -74.003061
07023,40.641700, -74.385676
07024,40.850640, -73.971007
07026,40.879797, -74.108250
07027,40.651249, -74.323137
07028,40.804798, -74.204569
07029,40.743595, -74.154913
07030,40.745268, -74.032021
07031,40.786256, -74.126220
07032,40.752323, -74.123090
07033,40.677420, -74.289341
07034,40.879480, -74.380104
07035,40.927501, -74.308334
07036,40.625230, -74.237823
07039,40.785828, -74.329100
07040,40.730785, -74.268919
07041,40.722448, -74.301546
07042,40.813487, -74.219011
07043,40.844837, -74.200502
07044,40.834007, -74.242877
07045,40.909405, -74.363571
07046,40.889726, -74.440329
07047,40.794175, -74.024960
07050,40.768040, -74.235692
07052,40.785753, -74.265059
07054,40.853739, -74.401636
07055,40.856413, -74.126940
07057,40.853084, -74.106323
07058,40.872514, -74.341776
07059,40.634588, -74.519044
07060,40.616667, -74.422042
07062,40.632358, -74.401184
07063,40.605118, -74.444522
07064,40.573310, -74.245640
07065,40.607152, -74.280531
07066,40.620620, -74.315442
07067,40.589252, -74.311310
07068,40.821737, -74.310147
07069,40.642845, -74.436233
07070,40.820314, -74.106041
07071,40.798004, -74.113250
07072,40.826424, -74.062338
07073,40.817097, -74.085024
07074,40.838127, -74.055268
07075,40.850183, -74.087068
07076,40.633026, -74.372905
07077,40.554147, -74.253060
07078,40.742346, -74.334237
07079,40.748811, -74.261512
07080,40.574413, -74.414800
07081,40.697892, -74.334537
07082,40.926913, -74.342511
07083,40.695266, -74.269078
07086,40.767855, -74.020637
07087,40.767383, -74.032328
07088,40.717934, -74.286158
07090,40.651644, -74.343447
07092,40.680722, -74.360292
07093,40.788079, -74.011357
07094,40.781958, -74.067649
07095,40.552844, -74.286949
07102,40.735659, -74.173605
07103,40.738725, -74.195568
07104,40.767910, -74.168380
07105,40.723066, -74.138636
07106,40.741817, -74.230334
07107,40.762918, -74.186559
07108,40.723110, -74.200204
07109,40.794927, -74.162353
07110,40.820616, -74.156250
07111,40.723860, -74.232517
07112,40.709361, -74.209662
07114,40.697483, -74.169902
07201,40.688972, -74.165414
07202,40.652415, -74.216848
07203,40.652211, -74.260158
07204,40.665266, -74.266708
07205,40.695889, -74.228800
07206,40.651654, -74.183811
07208,40.673830, -74.226408
07302,40.719389, -74.046469
07304,40.716495, -74.072593
07305,40.697302, -74.082273
07306,40.734924, -74.071875
07307,40.750877, -74.056865
07310,40.730133, -74.036816
07311,40.720216, -74.032724
07401,41.032669, -74.133826
07403,41.020920, -74.332852
07405,40.987841, -74.378188
07407,40.904526, -74.119514
07410,40.935833, -74.117504
07416,41.112558, -74.599735
07417,41.007529, -74.205652
07418,41.242209, -74.486100
07419,41.152758, -74.572348
07420,41.032270, -74.303164
07421,41.174004, -74.352494
07422,41.182049, -74.444452
07423,40.999485, -74.096574
07424,40.882802, -74.205713
07430,41.083159, -74.185895
07432,40.995809, -74.141262
07435,41.035529, -74.449126
07436,41.029405, -74.243145
07438,41.028134, -74.518867
07439,41.075676, -74.602012
07440,40.946468, -74.293040
07442,41.003095, -74.285455
07444,40.967407, -74.306967
07446,41.059136, -74.145931
07450,40.981591, -74.113506
07452,40.959471, -74.125202
07456,41.102332, -74.273170
07457,40.995995, -74.315124
07458,41.046652, -74.096511
07460,41.111812, -74.495093
07461,41.247022, -74.610522
07462,41.198457, -74.495576
07463,41.013615, -74.125919
07465,41.054855, -74.332764
07470,40.945855, -74.245077
07480,41.088259, -74.376390
07481,40.999093, -74.168849
07495,41.104464, -74.163337
07501,40.911998, -74.170965
07502,40.918573, -74.194089
07503,40.897548, -74.154121
07504,40.912548, -74.141615
07505,40.916327, -74.171643
07506,40.956957, -74.158561
07508,40.955074, -74.183638
07512,40.903415, -74.219779
07513,40.906182, -74.148686
07514,40.926992, -74.143838
07522,40.924959, -74.179096
07524,40.931711, -74.156870
07601,40.889398, -74.045698
07603,40.874287, -74.029735
07604,40.862751, -74.075182
07605,40.863391, -73.988471
07606,40.858477, -74.048473
07607,40.902885, -74.063457
07608,40.852997, -74.060355
07620,40.968725, -73.916999
07621,40.922334, -73.998001
07624,40.972890, -73.960315
07626,40.939786, -73.958581
07627,40.954576, -73.956563
07628,40.945239, -73.992428
07630,40.974990, -74.023248
07631,40.891197, -73.972515
07632,40.889743, -73.942029
07640,40.991681, -73.980202
07641,40.961713, -73.997437
07642,41.007127, -74.045119
07643,40.844332, -74.036164
07644,40.877915, -74.082500
07645,41.054594, -74.047298
07646,40.934161, -74.019453
07647,41.006364, -73.942772
07648,40.992252, -73.950917
07649,40.956651, -74.032858
07650,40.847017, -73.997061
07652,40.947312, -74.070219
07656,41.036183, -74.044293
07657,40.829316, -74.017360
07660,40.854705, -74.019926
07661,40.927354, -74.039611
07662,40.910694, -74.082895
07663,40.902926, -74.094669
07666,40.890317, -74.011478
07670,40.918309, -73.950523
07675,41.003506, -74.001778
07676,40.988306, -74.064693
07677,41.025977, -74.061061
07701,40.361667, -74.078076
07702,40.326450, -74.057373
07703,40.315784, -74.039773
07704,40.361940, -74.038775
07711,40.238531, -74.008008
07712,40.249708, -74.053712
07716,40.401088, -74.032978
07717,40.191418, -74.015105
07718,40.419871, -74.085174
07719,40.168908, -74.073226
07720,40.201604, -74.012056
07721,40.438095, -74.231391
07722,40.280968, -74.168903
07723,40.249701, -73.997458
07724,40.298625, -74.074178
07726,40.282353, -74.346564
07727,40.204403, -74.149231
07728,40.225793, -74.285785
07730,40.425495, -74.176063
07731,40.149537, -74.203987
07732,40.430468, -73.990424
07733,40.374964, -74.173849
07734,40.444151, -74.136810
07735,40.450109, -74.172274
07737,40.412472, -74.065304
07738,40.337907, -74.127066
07739,40.336952, -74.034535
07740,40.295372, -73.989899
07746,40.323490, -74.254572
07747,40.415326, -74.253906
07748,40.396300, -74.115274
07750,40.335895, -73.985608
07751,40.359650, -74.261462
07753,40.214893, -74.078907
07755,40.263635, -74.022877
07756,40.211820, -74.006944
07757,40.316313, -74.015897
07758,40.434236, -74.100665
07760,40.369551, -74.002368
07762,40.153409, -74.033732
07764,40.287904, -74.020019
07801,40.917192, -74.554744
07803,40.878088, -74.601176
07820,40.931361, -74.811743
07821,40.965937, -74.754393
07822,41.138775, -74.708337
07823,40.829451, -75.039497
07825,40.971247, -74.975723
07826,41.193195, -74.778167
07827,41.280922, -74.730494
07828,40.883935, -74.750312
07830,40.719283, -74.794021
07832,40.962126, -75.053728
07833,40.892784, -75.069413
07834,40.887246, -74.490462
07836,40.843103, -74.710722
07838,40.887950, -74.911692
07840,40.854177, -74.835349
07842,40.942135, -74.512095
07843,40.939241, -74.659474
07846,40.965940, -74.877068
07847,40.889346, -74.623879
07848,41.103892, -74.687004
07849,40.970323, -74.607244
07850,40.906858, -74.662035
07851,41.231436, -74.846827
07852,40.883268, -74.668029
07853,40.780755, -74.789238
07856,40.916080, -74.626689
07857,40.896755, -74.700322
07860,41.056547, -74.819113
07863,40.807625, -74.957600
07865,40.793806, -74.898347
07866,40.954863, -74.489076
07869,40.841691, -74.578330
07870,40.803980, -74.819651
07871,41.052283, -74.627906
07874,40.923063, -74.735790
07876,40.854470, -74.657357
07878,40.872446, -74.473754
07880,40.871452, -74.888891
07881,41.120656, -74.890403
07882,40.752640, -75.013787
07885,40.910506, -74.599911
07901,40.714923, -74.366372
07920,40.678994, -74.564115
07921,40.656019, -74.678657
07922,40.676393, -74.425027
07924,40.730394, -74.592580
07926,40.801262, -74.570122
07927,40.821862, -74.454290
07928,40.725986, -74.412612
07930,40.781196, -74.683945
07931,40.681427, -74.616525
07932,40.777242, -74.392943
07933,40.704225, -74.459488
07934,40.722624, -74.675589
07935,40.736004, -74.445887
07936,40.818553, -74.363742
07939,40.667382, -74.553908
07940,40.760175, -74.419181
07945,40.781948, -74.599501
07946,40.677709, -74.508538
07950,40.846026, -74.482314
07960,40.784201, -74.500025
07961,40.780620, -74.432741
07970,40.808084, -74.572929
07974,40.696919, -74.403853
07976,40.728060, -74.479344
07977,40.705188, -74.670075
07979,40.700638, -74.730119
07980,40.680423, -74.488915
07981,40.820383, -74.422418
08001,39.547880, -75.346384
08002,39.931978, -75.027557
08003,39.882703, -74.972036
08004,39.764747, -74.870626
08005,39.767727, -74.312588
08006,39.752760, -74.106156
08007,39.865825, -75.053823
08008,39.542599, -74.298174
08009,39.760656, -74.932860
08010,40.055173, -74.916925
08011,39.972764, -74.713117
08012,39.783815, -75.056068
08014,39.815906, -75.348335
08015,39.931531, -74.543763
08016,40.069522, -74.824196
08019,39.777292, -74.534219
08020,39.791562, -75.224140
08021,39.806194, -75.000151
08022,40.067590, -74.705741
08023,39.686699, -75.496274
08026,39.832872, -74.967175
08027,39.834582, -75.288914
08028,39.695863, -75.121415
08029,39.840937, -75.067211
08030,39.888896, -75.118078
08031,39.866356, -75.094670
08033,39.892421, -75.036651
08034,39.906100, -75.000375
08035,39.879127, -75.065918
08036,39.970569, -74.832209
08037,39.639959, -74.759320
08038,39.470004, -75.490291
